player_1,player_2,game,team
byram,rantanen,1,avs
rantanen,landeskog,1,avs
landeskog,g,1,avs
mackinnon,nichushkin,1,avs
nichushkin,g,1,avs
hedman,point,1,lightning
point,paul,1,lightning
paul,g,1,lightning
landeskog,rantanen,1,avs
rantanen,lehkonen,1,avs
lehkonen,g,1,avs
mcdonagh,kucherov,1,lightning
kucherov,palat,1,lightning
palat,g,1,lightning
hagel,cirelli,1,lightning
cirelli,sergachev,1,lightning
sergachev,g,1,lightning
compher,nichushkin,1,avs
nichushkin,burakovsky,1,avs
burakovsky,g,1,avs
burakovsky,newhook,2,avs
newhook,nichushkin,2,avs
nichushkin,g,2,avs
newhook,cogliano,2,avs
cogliano,manson,2,avs
manson,g,2,avs
rantanen,toews,2,avs
toews,burakovsky,2,avs
burakovsky,g,2,avs
rantanen,nichushkin,2,avs
nichushkin,g,2,avs
o'connor,helm,2,avs
helm,g,2,avs
cogliano,makar,2,avs
makar,g,2,avs
rantanen,mackinnon,2,avs
mackinnon,makar,2,avs
makar,g,2,avs
makar,rantanen,3,avs
rantanen,landeskog,3,avs
landeskog,g,3,avs
maroon,cirelli,3,lightning
cirelli,g,3,lightning
stamkos,palat,3,lightning
palat,g,3,lightning
colton,paul,3,lightning
paul,g,3,lightning
rantanen,makar,3,avs
makar,landeskog,3,avs
landeskog,g,3,avs
kucherov,bogosian,3,lightning
bogosian,stamkos,3,lightning
stamkos,g,3,lightning
hedman,kucherov,3,lightning
kucherov,maroon,3,lightning
maroon,g,3,lightning
palat,hedman,3,lightning
hedman,perry,3,lightning
perry,g,3,lightning
cernak,cirelli,4,lightning
cirelli,g,4,lightning
makar,rantanen,4,avs
rantanen,mackinnon,4,avs
mackinnon,g,4,avs
rutta,hedman,4,lightning
hedman,g,4,lightning
sturm,helm,4,avs
helm,cogliano,4,avs
cogliano,g,4,avs
kuemper,lehkonen,4,avs
lehkonen,kadri,4,avs
kadri,g,4,avs
sergachev,perry,5,lightning
perry,rutta,5,lightning
rutta,g,5,lightning
mackinnon,makar,5,avs
makar,nichushkin,5,avs
nichushkin,g,5,avs
stamkos,perry,5,lightning
perry,kucherov,5,lightning
kucherov,g,5,lightning
nichushkin,toews,5,avs
toews,makar,5,avs
makar,g,5,avs
hedman,sergachev,5,lightning
sergachev,palat,5,lightning
palat,g,5,lightning
palat,stamkos,6,lightning
stamkos,g,6,lightning
landeskog,byram,6,avs
byram,mackinnon,6,avs
mackinnon,g,6,avs
manson,mackinnon,6,avs
mackinnon,lehkonen,6,avs
lehkonen,g,6,avs